BHARTIARTL,TECHM,TATAMTRDVR,HINDALCO,AMBUJACEM,SBIN,ITC,COALINDIA,ICICIBANK,WIPRO,YESBANK,GAIL,INFRATEL,TATAMOTORS,ADANIPORTS,BPCL,SUNPHARMA,AXISBANK,CIPLA,ZEEL,AUROPHARMA,TIME 
 381.00, 650.50, 201.70, 232.25, 237.90, 253.80, 262.05, 281.00, 287.05, 287.10, 310.50, 326.00, 339.20, 358.25, 372.05, 420.00, 516.00, 546.25, 556.90, 571.15, 611.70,1523524362.66
 380.90, 650.55, 201.70, 232.25, 237.90, 253.80, 262.05, 281.00, 287.05, 287.10, 310.45, 326.00, 339.20, 358.25, 372.15, 420.05, 516.00, 546.25, 556.80, 571.15, 611.70,1523524363.33
 380.90, 650.55, 201.70, 232.25, 237.90, 253.75, 262.00, 281.00, 287.05, 287.10, 310.45, 326.00, 339.20, 358.15, 372.15, 420.05, 515.90, 546.20, 556.80, 571.15, 611.70,1523524363.9
 380.85, 650.55, 201.70, 232.20, 237.90, 253.75, 262.05, 281.00, 287.05, 287.10, 310.45, 326.00, 339.20, 358.15, 372.15, 420.05, 515.90, 546.20, 556.80, 571.15, 611.70,1523524364.57
 380.95, 650.40, 201.70, 232.20, 237.90, 253.75, 262.05, 281.00, 287.05, 287.10, 310.45, 326.00, 339.20, 358.15, 372.40, 419.90, 515.90, 546.20, 556.80, 571.15, 611.70,1523524365.18
 380.95, 650.40, 201.70, 232.20, 237.90, 253.75, 262.05, 281.00, 287.05, 287.10, 310.45, 326.00, 339.20, 358.15, 372.40, 419.90, 516.00, 546.20, 556.80, 571.20, 611.70,1523524365.83
 380.95, 650.40, 201.70, 232.20, 237.90, 253.75, 262.05, 281.00, 287.05, 287.10, 310.45, 326.00, 339.20, 358.15, 372.40, 419.90, 516.00, 546.20, 556.80, 571.20, 611.70,1523524366.43
 380.95, 650.40, 201.70, 232.20, 237.90, 253.70, 262.05, 281.00, 287.10, 287.10, 310.45, 326.00, 339.20, 358.15, 372.10, 419.90, 516.00, 546.20, 556.80, 571.05, 611.70,1523524367.0
 380.95, 650.50, 201.70, 232.20, 237.90, 253.70, 262.05, 281.00, 287.10, 287.10, 310.45, 326.00, 339.20, 358.15, 372.10, 419.90, 515.90, 546.20, 556.65, 571.05, 611.70,1523524367.59
 381.00, 650.50, 201.70, 232.20, 237.95, 253.70, 262.05, 281.00, 287.05, 287.10, 310.45, 326.00, 339.20, 358.15, 372.10, 419.90, 515.90, 546.25, 556.65, 571.05, 611.70,1523524368.14
 381.00, 650.50, 201.70, 232.20, 237.95, 253.70, 262.05, 281.00, 287.05, 287.10, 310.45, 326.00, 339.20, 358.15, 372.10, 419.90, 516.00, 546.25, 556.65, 571.05, 611.70,1523524368.75
 381.00, 650.50, 201.70, 232.25, 237.95, 253.70, 262.05, 281.00, 287.05, 287.10, 310.35, 326.00, 339.20, 358.15, 372.10, 419.90, 516.00, 546.25, 556.65, 571.05, 611.70,1523524369.37
 381.00, 650.50, 201.70, 232.25, 237.95, 253.75, 262.05, 281.00, 287.05, 287.10, 310.35, 326.00, 339.20, 358.15, 372.10, 419.90, 515.90, 546.25, 556.65, 571.05, 611.70,1523524370.0
 381.00, 650.50, 201.70, 232.30, 237.95, 253.75, 262.05, 281.00, 287.05, 287.10, 310.35, 326.00, 339.20, 358.15, 372.10, 419.90, 515.90, 546.20, 556.65, 571.05, 611.70,1523524370.54
 381.00, 650.50, 201.70, 232.30, 237.95, 253.75, 262.05, 281.00, 287.05, 287.10, 310.35, 326.00, 339.20, 358.15, 372.10, 419.90, 515.90, 546.20, 556.65, 571.05, 611.70,1523524371.1
 381.00, 650.50, 201.70, 232.30, 237.95, 253.75, 262.05, 281.00, 287.05, 287.10, 310.30, 326.00, 339.20, 358.15, 372.10, 419.90, 515.90, 546.20, 556.65, 571.05, 611.70,1523524371.66
 381.00, 650.50, 201.70, 232.30, 237.95, 253.75, 262.05, 281.00, 287.05, 287.10, 310.30, 326.00, 339.20, 358.10, 372.10, 419.90, 515.90, 546.25, 556.65, 571.05, 611.70,1523524372.23
 381.00, 650.50, 201.70, 232.30, 237.95, 253.75, 262.05, 281.00, 287.05, 287.10, 310.30, 326.00, 339.20, 358.30, 372.10, 419.90, 515.90, 546.25, 556.65, 571.05, 611.25,1523524372.75
 380.95, 650.50, 201.70, 232.30, 237.95, 253.70, 262.05, 281.00, 287.05, 287.10, 310.30, 326.00, 339.20, 358.30, 372.10, 419.95, 515.90, 546.25, 556.65, 571.05, 611.25,1523524373.35
 380.95, 650.50, 201.70, 232.30, 237.95, 253.70, 262.05, 281.00, 287.05, 287.10, 310.30, 326.00, 339.20, 358.30, 372.10, 419.95, 515.90, 546.25, 556.70, 571.05, 611.25,1523524373.89
 380.95, 650.50, 201.70, 232.25, 237.95, 253.70, 262.05, 281.00, 287.10, 287.10, 310.30, 326.00, 339.20, 358.30, 372.10, 419.95, 515.90, 546.25, 556.70, 571.05, 611.25,1523524374.48
 380.95, 650.50, 201.70, 232.25, 237.95, 253.70, 262.05, 281.00, 287.10, 287.10, 310.30, 326.00, 339.20, 358.30, 372.10, 419.95, 515.90, 546.25, 556.70, 571.05, 611.25,1523524375.0
 380.95, 650.50, 201.70, 232.25, 237.95, 253.70, 262.05, 281.00, 287.10, 287.10, 310.30, 326.00, 339.20, 358.30, 372.10, 419.95, 515.90, 546.25, 556.70, 571.05, 611.25,1523524375.57
 380.95, 650.50, 201.70, 232.25, 237.95, 253.80, 262.05, 281.00, 287.05, 287.10, 310.30, 326.00, 338.65, 358.10, 372.10, 419.75, 516.00, 546.25, 556.90, 571.05, 611.25,1523524376.26
 380.95, 650.55, 201.70, 232.25, 237.95, 253.80, 262.05, 281.00, 287.05, 287.10, 310.30, 326.00, 338.65, 358.10, 372.20, 419.95, 516.00, 546.25, 556.90, 571.05, 611.25,1523524376.99
 381.00, 650.55, 201.70, 232.25, 237.95, 253.80, 262.00, 281.00, 287.05, 287.10, 310.30, 326.00, 338.65, 358.10, 372.20, 419.95, 516.00, 546.25, 556.90, 571.05, 611.25,1523524377.66
 381.00, 650.55, 201.70, 232.25, 237.95, 253.80, 262.00, 281.00, 287.10, 287.10, 310.30, 326.00, 338.65, 358.10, 372.20, 419.95, 516.00, 546.25, 556.90, 571.20, 611.25,1523524378.49
 381.00, 650.55, 201.70, 232.25, 237.95, 253.80, 262.00, 281.00, 287.10, 286.90, 310.30, 326.00, 338.65, 358.10, 372.20, 419.70, 516.00, 546.25, 556.90, 571.20, 611.25,1523524379.24
 381.00, 650.55, 201.70, 232.25, 237.95, 253.80, 262.00, 281.00, 287.10, 286.90, 310.30, 326.00, 338.65, 358.15, 372.05, 419.70, 516.00, 546.25, 556.90, 571.20, 611.25,1523524379.9
 381.00, 650.50, 201.70, 232.25, 237.95, 253.80, 262.00, 281.00, 287.05, 286.90, 310.30, 326.00, 338.65, 358.15, 372.05, 419.70, 516.00, 546.25, 556.90, 571.10, 611.25,1523524380.76
 381.00, 650.50, 201.70, 232.25, 237.95, 253.80, 261.90, 281.00, 287.05, 286.95, 310.30, 326.00, 338.65, 358.15, 372.05, 419.70, 516.00, 546.25, 556.90, 571.10, 611.25,1523524381.54
